,author,title,library_type,day,month,year,challenge_date,state
4580,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,6,2022,2022-06-01,PA
4581,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,1,2022,2022-01-01,FL
4582,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,2,2022,2022-02-01,FL
4583,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,4,2022,2022-04-01,FL
4585,"Charlton-Trujillo, e. E.",Rebel Girl Revolution (Fat Angie Series),School,1,2,2022,2022-02-01,TN
4586,"Woodson, Jacqueline",Red at the Bone,School,1,10,2022,2022-10-01,SC
4587,"Woodson, Jacqueline",Red at the Bone,School,1,7,2022,2022-07-01,FL
4588,"Woodson, Jacqueline",Red at the Bone,School,1,1,2023,2023-01-01,FL
4589,"Woodson, Jacqueline",Red at the Bone,School,1,12,2022,2022-12-01,SC
4591,"Woodson, Jacqueline",Red at the Bone,School,1,3,2022,2022-03-01,TX
4592,"Woodson, Jacqueline",Red at the Bone,School,1,3,2022,2022-03-01,TX
4594,"Woodson, Jacqueline",Red at the Bone,School,1,2,2022,2022-02-01,TX
4595,"Woodson, Jacqueline",Red at the Bone,School,1,12,2021,2021-12-01,TX
4596,"Arnold, Elana K.",Red Hood,School,1,11,2022,2022-11-01,UT
4597,"Arnold, Elana K.",Red Hood,School,1,8,2022,2022-08-01,IA
4598,"Arnold, Elana K.",Red Hood,School,1,9,2022,2022-09-01,FL
4599,"Arnold, Elana K.",Red Hood,School,1,7,2022,2022-07-01,FL
4600,"Arnold, Elana K.",Red Hood,School,1,9,2022,2022-09-01,VA
4601,"Arnold, Elana K.",Red Hood,School,1,11,2022,2022-11-01,UT
4602,"Arnold, Elana K.",Red Hood,School,1,1,2023,2023-01-01,FL
4603,"Arnold, Elana K.",Red Hood,School,1,1,2023,2023-01-01,FL
4605,"Arnold, Elana K.",Red Hood,School,1,1,2023,2023-01-01,FL
4606,"Arnold, Elana K.",Red Hood,School,1,2,2023,2023-02-01,PA
4607,"Arnold, Elana K.",Red Hood,School,1,11,2021,2021-11-01,FL
4608,"Arnold, Elana K.",Red Hood,School,1,5,2022,2022-05-01,UT
4609,"Arnold, Elana K.",Red Hood,School,1,3,2022,2022-03-01,TX
4610,"Arnold, Elana K.",Red Hood,School,1,3,2022,2022-03-01,TX
4611,"Arnold, Elana K.",Red Hood,School,1,4,2022,2022-04-01,FL
